  Северо-Западный федеральный округ	9,4	11,2	11,0	10,7	10,3	9,6	8,3	8,6	15,9	15,9	10,1	10,8	11,0	10,6	10,9	11,9
Республика Карелия	6,6	9,2	10,9	8,1	7,7	7,2	6,4	5,9	9,5	9,2	7,1	7,0	6,4	5,5	5,4	5,9
Республика Коми	7,5	6,1	7,6	8,8	8,9	5,2	4,5	3,5	8,8	10,6	7,2	8,0	8,9	10,7	10,9	8,4
Архангельская область	9,0	9,3	8,2	5,4	5,0	5,8	4,9	4,4	8,3	6,7	4,0	4,4	4,1	4,6	7,0	5,1
Ненецкий автономный округ	5,3	11,4	10,5	6,3	3,1	5,0	6,2	4,6	5,7	2,6	2,7	3,1	1,7	2,2	3,9	5,1
Архангельская область без АО	9,4	9,1	8,0	5,3	5,3	5,9	4,7	4,4	8,8	7,5	4,2	4,7	4,6	5,2	7,6	5,2
Вологодская область	7,4	9,3	7,3	7,8	5,6	5,5	6,0	5,4	8,6	8,2	11,6	12,2	8,9	9,3	9,3	9,2
Калинингpадская область	3,2	3,3	5,1	5,1	2,4	4,1	4,8	4,3	7,6	7,1	4,4	5,6	6,6	5,7	6,5	6,8
Ленинградская область	9,4	9,1	10,1	10,5	8,7	10,1	8,5	9,3	15,4	14,1	8,1	7,9	8,2	7,1	8,1	10,8
Мурманская область	9,7	8,5	9,0	13,5	10,2	9,4	7,2	8,2	16,2	11,6	9,6	9,4	10,0	10,3	8,8	7,9
Новгородская область	8,7	7,5	7,5	6,6	7,7	8,9	7,3	8,8	15,3	17,6	9,8	11,4	9,8	9,9	9,2	9,3
Псковская область	9,6	10,0	8,1	7,3	9,2	7,0	7,9	7,4	12,6	13,4	5,8	9,6	9,8	9,9	10,4	12,8
г. Санкт-Петербург	13,0	18,9	18,8	18,0	18,9	17,2	14,8	16,1	30,6	28,3	15,4	15,9	15,9	15,0	15,0	17,1
  Южный федеральный округ	7,5	6,5	7,4	7,2	7,7	7,6	7,1	8,4	11,9	9,5	7,5	8,0	11,9	10,8	11,3	13,0
Республика Адыгея (Адыгея)	10,0	9,7	6,8	10,4	8,5	7,9	4,2	6,3	12,5	8,2	4,4	8,9	7,8	7,5	9,2	8,6
Республика Калмыкия	-	1,1	1,2	4,8	2,4	2,4	2,0	2,5	5,8	5,6	1,5	2,8	2,6	2,7	3,1	3,5
Республика Крым					11,5	5,1	2,8	3,8	8,7	7,2	4,6	4,8	6,8	6,0	9,2	10,9
Краснодарский край	6,2	6,1	7,4	5,6	6,2	6,5	9,1	12,2	12,6	8,9	4,3	5,3	6,3	5,0	5,6	6,8
Астраханская область	12,8	5,2	5,8	9,0	12,4	12,1	9,1	7,7	11,4	10,4	7,2	5,3	7,7	6,1	6,2	17,2
Волгоградская область	8,4	7,9	7,1	8,1	6,3	6,3	4,9	4,6	10,1	8,0	4,9	7,7	8,8	8,2	7,4	9,3
Ростовская область	7,3	6,6	8,7	7,7	9,6	9,9	8,4	8,2	14,6	13,2	17,6	13,8	27,6	26,4	26,6	26,3
г.  Севастополь					4,8	-	3,3	3,2	10,6	12,6	6,0	17,6	10,2	7,8	8,2	10,7
  Северо-Кавказский федеральный округ	6,2	5,2	6,4	5,9	6,5	4,7	2,9	3,2	7,5	4,4	1,7	3,5	4,6	4,0	3,6	4,9
Республика Дагестан	6,7	2,9	6,5	10,3	12,2	7,3	2,5	2,8	9,1	2,2	0,5	3,0	3,8	3,1	2,7	5,2
Республика Ингушетия	-	5,9	-	-	20,0	5,6	-	4,8	14,3	10,5	0,8	1,5	3,9	1,1	1,4	2,1
Кабардино-Балкарская Республика	8,3	9,9	9,4	9,3	6,7	2,5	2,4	3,8	11,3	10,3	3,9	7,5	5,8	3,8	2,4	3,6
Карачаево-Черкесская Республика	4,3	4,3	2,8	2,7	3,6	3,1	0,8	1,8	8,8	6,5	5,7	5,6	4,9	4,3	5,1	5,6
Республика Северная Осетия - Алания	7,7	5,4	4,5	5,3	6,6	3,8	3,8	4,0	11,3	9,6	1,6	2,9	3,4	2,9	3,0	5,4
Чеченская Республика 	0,8	0,8	-	-	0,5	1,6	0,3	0,2	0,9	0,2	0,2	1,8	1,9	2,0	1,7	2,1
Ставропольский край	7,2	5,8	8,8	8,1	8,3	6,8	4,9	5,2	9,3	7,9	5,1	5,3	6,9	6,8	7,0	7,6
  Приволжский федеральный округ	12,3	12,7	11,9	11,7	11,4	10,6	9,4	9,1	14,3	13,3	11,6	15,5	16,7	15,9	16,7	17,5
Республика Башкортостан	11,1	13,5	13,1	12,3	10,4	9,1	7,3	7,4	14,0	12,4	10,3	25,1	21,2	14,8	16,4	16,8
Республика Марий Эл	7,9	8,6	10,6	8,8	7,1	8,3	5,9	7,1	10,3	8,8	11,3	9,5	12,0	11,6	16,3	14,1
Республика Мордовия	9,4	12,4	13,1	16,9	18,3	16,6	13,4	12,5	18,9	16,4	21,2	20,4	20,0	17,5	18,1	15,7
Республика Татарстан	14,9	18,1	19,1	21,0	20,5	20,5	21,3	22,2	31,7	21,5	17,4	24,9	29,0	32,0	33,6	34,1
Удмуртская Республика	11,6	15,1	13,0	10,3	10,5	10,2	7,6	6,7	9,0	8,5	10,6	12,6	14,3	13,4	11,2	11,1
Чувашская Республика	15,7	15,2	20,9	18,8	23,7	24,0	24,5	24,7	29,0	30,4	15,0	14,6	15,8	13,8	14,6	16,2
Пермский край	21,3	13,6	14,1	11,4	11,1	10,5	7,9	6,4	13,4	10,6	8,7	10,8	12,2	11,6	13,5	13,4
Кировская область	7,4	8,5	8,7	9,1	9,4	9,8	9,6	9,5	11,4	12,3	14,6	13,9	12,7	11,6	12,8	12,7
Нижегородская область	17,7	17,7	14,7	15,4	14,3	13,5	12,8	11,1	20,1	18,1	13,7	14,0	15,1	15,4	15,1	16,0
Оренбургская область	14,4	15,2	12,7	12,5	12,4	10,8	7,1	6,4	9,3	5,4	5,6	7,5	7,6	7,0	7,1	8,2
Пензенская область	9,2	11,0	11,4	15,6	17,1	14,7	20,1	20,7	24,5	20,9	13,1	17,5	15,3	14,6	13,4	15,1
Самарская область	12,1	9,8	6,3	5,4	5,8	5,0	3,9	4,3	6,1	8,3	10,2	14,9	18,2	17,9	18,8	21,8
Саратовская область	6,4	5,5	7,0	6,4	6,8	6,3	4,8	5,0	11,8	11,2	6,1	7,1	8,9	7,9	9,3	8,9
Ульяновская область	7,6	8,0	6,3	7,1	5,1	5,2	3,6	3,4	8,3	12,3	14,6	15,1	17,4	14,1	13,5	14,2
  Уральский федеральный округ	11,5	11,5	10,6	9,6	8,9	7,9	8,2	8,2	15,7	14,9	9,3	10,2	11,1	9,9	9,8	10,2
Курганская область	12,4	13,1	9,2	8,3	5,5	4,2	4,6	4,6	9,2	10,7	9,8	14,1	14,4	11,8	12,4	11,7
Свердловская область	15,0	13,6	13,3	11,5	11,0	8,5	9,4	9,6	19,5	16,7	11,6	11,2	13,0	11,8	12,1	12,4
Тюменская область	9,8	9,8	8,2	8,1	8,4	8,0	9,2	7,9	12,7	12,7	6,9	8,5	8,5	7,3	6,5	6,7															
Ханты-Мансийский автономный округ - Югра	7,5	8,2	6,1	6,6	5,4	5,0	6,3	5,4	8,5	7,9	5,0	7,4	6,6	6,0	5,7	5,8
Ямало-Ненецкий автономный округ	10,9	10,1	7,6	5,1	7,8	7,4	9,0	7,0	10,7	8,6	5,4	5,9	6,8	4,7	3,9	3,9
Тюменская область без АО	12,4	11,7	11,3	11,5	12,5	12,3	12,9	11,3	18,5	20,5	10,7	12,2	12,8	11,5	10,0	10,7
Челябинская область	9,9	10,9	11,5	9,8	8,5	9,2	7,0	8,6	17,3	16,6	10,5	11,4	13,2	12,1	12,6	14,2
  Сибирский федеральный округ	8,1	9,0	8,7	9,6	9,0	8,3	7,0	7,6	12,3	9,9	7,5	9,8	9,3	9,2	9,4	10,1
Республика Алтай 	6,5	22,1	18,5	19,4	10,7	10,9	6,2	6,8	8,5	6,6	5,3	3,8	5,6	5,3	4,4	3,9
Республика Тыва	13,0	6,8	4,5	3,3	1,8	4,9	2,4	1,8	1,8	2,0	5,6	9,1	4,4	3,0	8,5	6,7
Республика Хакасия	5,4	5,6	6,8	9,1	8,1	3,0	2,1	4,0	7,0	7,4	3,4	3,8	4,0	4,3	3,9	5,4
Алтайский край	8,2	11,0	10,5	11,3	11,4	12,0	12,4	12,6	16,3	15,4	12,9	19,5	17,1	14,0	14,9	16,7
Красноярский край	10,0	10,2	9,5	11,2	9,3	8,8	7,1	7,1	13,6	11,1	6,9	6,7	7,0	7,0	6,7	7,2
Иркутская область	8,7	6,5	6,9	8,7	6,4	7,9	4,8	5,3	9,6	8,7	5,4	7,1	6,4	6,9	7,7	7,8
Кемеровская область- Кузбасс	5,9	6,4	6,1	4,6	7,0	3,9	3,2	6,2	11,7	6,3	4,4	6,3	7,8	7,1	6,8	8,4
Новосибирская область	5,5	8,2	8,6	9,9	9,7	9,4	7,6	7,5	12,8	10,2	7,9	8,0	8,8	11,0	12,2	13,3
Омская область	7,3	7,1	8,2	8,3	8,2	6,4	7,6	7,5	10,6	9,5	7,5	10,5	10,8	11,2	8,6	8,6
Томская область	18,4	15,7	11,4	14,6	13,7	12,8	12,2	14,0	19,6	17,9	14,8	24,6	17,9	15,2	16,2	16,4
  Дальневосточный федеральный округ	8,6	10,4	9,8	8,5	8,5	6,9	6,2	5,9	10,5	8,9	6,0	6,9	7,7	7,4	6,4	6,5
Республика Бурятия	11,0	11,8	10,2	6,7	8,5	4,8	6,4	4,7	9,4	6,8	5,2	5,8	4,6	4,4	4,2	4,9
Республика Саха (Якутия)	7,4	8,1	6,7	7,9	8,5	7,0	7,6	7,9	11,4	8,6	3,9	8,6	14,5	12,3	8,7	6,5
Забайкальский край	6,7	4,0	2,3	2,2	5,3	6,1	4,0	2,9	6,4	5,6	3,8	4,1	4,7	3,9	3,3	4,1
Камчатский край	9,6	21,8	23,5	14,3	12,3	11,8	12,7	11,9	25,4	15,5	13,1	12,8	10,9	9,4	8,3	8,0
Приморский край	7,9	11,5	11,7	9,4	9,3	6,1	4,2	4,5	9,1	9,7	5,7	7,1	7,4	7,7	5,9	6,7
Хабаровский край	11,1	15,5	13,6	11,6	10,5	9,7	8,5	7,9	15,9	13,3	8,1	5,9	7,2	7,7	8,0	8,1
Амурская область	5,9	7,1	7,8	6,4	6,1	5,4	6,1	6,0	8,1	6,3	5,1	6,7	5,9	6,8	5,9	7,9
Магаданская область	34,3	33,6	24,6	24,6	15,1	14,3	12,2	6,6	10,8	10,3	13,3	9,4	9,1	8,6	7,5	7,1
Сахалинская область	3,1	4,3	3,7	3,4	4,1	2,6	3,3	3,9	5,5	6,0	5,0	4,8	3,9	4,8	5,0	6,3
Еврейская автономная область	10,5	5,0	9,0	6,3	6,3	5,3	6,5	6,7	7,5	7,2	4,3	5,5	4,5	4,0	4,5	3,8
Чукотский автономный округ	12,5	12,5	17,9	25,0	29,2	17,8	7,2	10,7	16,7	12,5	7,8	6,7	9,0	7,5	6,1	6,2
